         74824230 function calls (74713959 primitive calls) in 103.442 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 <decorator-gen-0>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-10>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-1>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-2>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-3>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-4>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-5>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-6>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-7>:1(<module>)
        3    0.000    0.000    0.001    0.000 <decorator-gen-7>:1(_held_figure)
        1    0.000    0.000    0.000    0.000 <decorator-gen-8>:1(<module>)
        1    0.000    0.000    0.000    0.000 <decorator-gen-9>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(AndersonResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Anderson_ksampResult)
        1    0.000    0.000    0.000    0.000 <string>:1(AnsariResult)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgInfo)
        1    0.000    0.000    0.000    0.000 <string>:1(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:1(Arguments)
        1    0.000    0.000    0.000    0.000 <string>:1(Attribute)
        1    0.000    0.000    0.000    0.000 <string>:1(BartlettResult)
        1    0.000    0.000    0.000    0.000 <string>:1(BinnedStatistic2dResult)
        1    0.000    0.000    0.000    0.000 <string>:1(BinnedStatisticResult)
        1    0.000    0.000    0.000    0.000 <string>:1(BinnedStatisticddResult)
        1    0.000    0.000    0.000    0.000 <string>:1(CumfreqResult)
        1    0.000    0.000    0.000    0.000 <string>:1(DecimalTuple)
        1    0.000    0.000    0.000    0.000 <string>:1(DefaultVerifyPaths)
        1    0.000    0.000    0.000    0.000 <string>:1(DescribeResult)
        1    0.000    0.000    0.000    0.000 <string>:1(F_onewayResult)
        1    0.000    0.000    0.000    0.000 <string>:1(FlignerResult)
        1    0.000    0.000    0.000    0.000 <string>:1(FriedmanchisquareResult)
        1    0.000    0.000    0.000    0.000 <string>:1(HistogramResult)
        1    0.000    0.000    0.000    0.000 <string>:1(KendalltauResult)
        1    0.000    0.000    0.000    0.000 <string>:1(KruskalResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Ks_2sampResult)
        1    0.000    0.000    0.000    0.000 <string>:1(KstestResult)
        1    0.000    0.000    0.000    0.000 <string>:1(KurtosistestResult)
        1    0.000    0.000    0.000    0.000 <string>:1(LeveneResult)
        1    0.000    0.000    0.000    0.000 <string>:1(LinregressResult)
        1    0.000    0.000    0.000    0.000 <string>:1(MannwhitneyuResult)
        1    0.000    0.000    0.000    0.000 <string>:1(Match)
        1    0.000    0.000    0.000    0.000 <string>:1(Mean)
        1    0.000    0.000    0.000    0.000 <string>:1(Mismatch)
        1    0.000    0.000    0.000    0.000 <string>:1(ModeResult)
        1    0.000    0.000    0.000    0.000 <string>:1(ModuleInfo)
